Ref,Val,Package,PosX,PosY,Rot,Side
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",125.095000,-92.075000,0.000000,bottom
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",165.100000,-93.980000,0.000000,bottom
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",178.435000,-137.795000,0.000000,bottom
"C1","10uF","C_0402_1005Metric",170.755000,-97.925002,180.000000,top
"C2","10uF","C_0402_1005Metric",170.175000,-100.115002,90.000000,top
"C3","10uF","C_0402_1005Metric",170.820000,-102.035002,180.000000,top
"C4","10uF","C_0402_1005Metric",170.180000,-104.235002,90.000000,top
"C5","10uF","C_0402_1005Metric",167.700000,-132.810000,0.000000,top
"C6","0.1uF","C_0201_0603Metric",167.910000,-131.930000,0.000000,top
"D1","1N5819WS","D_SOD-323",171.560000,-96.355002,0.000000,top
"D5","LTST-C191KGKT","LED_0603_1608Metric",135.940000,-96.605002,0.000000,top
"F1","MF-FSMF050X-2","R_0603_1608Metric",168.900000,-96.595002,90.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",125.095000,-92.075000,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",165.100000,-93.980000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",178.435000,-137.795000,0.000000,top
"J1","Conn_02x15_Odd_Even","PinHeader_2x15_P2.54mm_Vertical",179.705001,-94.615001,0.000000,top
"J2","DF40C-60DS-0.4V(51)","DF40C60DS04V51",166.040000,-112.900000,90.000000,top
"J3","Conn_02x15_Odd_Even","PinHeader_2x15_P2.54mm_Vertical",163.830001,-87.630001,-90.000000,top
"J4","Conn_02x15_Odd_Even","PinHeader_2x15_P2.54mm_Vertical",163.830001,-135.255001,-90.000000,top
"J5","DF40C-60DS-0.4V(51)","DF40C60DS04V51",136.840000,-112.900000,90.000000,top
"J6","SFV22R-2STE1HLF","AMPHENOL_SFV22R-2STE1HLF",118.250000,-129.725002,-90.000000,top
"J7","SFV22R-2STE1HLF","AMPHENOL_SFV22R-2STE1HLF",118.250000,-96.025002,-90.000000,top
"J8","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",128.905000,-111.760000,-90.000000,top
"J9","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",172.460000,-89.785002,180.000000,top
"J10","FTSH-105-01-L-DV-007-K","PinHeader_2x05_P1.27mm_Vertical_SMD",172.774000,-135.605002,90.000000,top
"Q1","BC846","SOT-323_SC-70",131.950000,-96.575002,0.000000,top
"R1","2.2K","R_0402_1005Metric",167.350000,-136.025002,180.000000,top
"R2","5.1K","R_0402_1005Metric",177.150000,-135.375002,-90.000000,top
"R3","5.1K","R_0402_1005Metric",131.550000,-98.475002,0.000000,top
"R4","56K","R_0402_1005Metric",131.550000,-94.675002,0.000000,top
"R5","56K","R_0402_1005Metric",173.800000,-102.400000,-90.000000,top
"R6","5.1K","R_0402_1005Metric",166.250000,-96.195002,-90.000000,top
"R7","5.1K","R_0402_1005Metric",167.350000,-96.195002,-90.000000,top
"R8","27","R_0402_1005Metric",165.790000,-132.070000,180.000000,top
"R9","2.2K","R_0402_1005Metric",137.980000,-96.105002,-90.000000,top
"RN1","220K","R_Array_Convex_4x0402",123.750000,-123.275002,90.000000,top
"RN2","220K","R_Array_Convex_4x0402",123.450000,-103.075002,-90.000000,top
"RN4","4.7K","R_Array_Convex_4x0402",167.350000,-138.125002,180.000000,top
"U1","TLV75718PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",171.890000,-99.715002,90.000000,top
"U2","TLV75733PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",171.940000,-103.825002,90.000000,top
"Y1","SG-210STF 24.0000ML0","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",166.860000,-130.010000,180.000000,top
