"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C_0201_0603Metric";1;"0.1uF";;;
2;"C2,C5,C3,C1,C4";"C_0402_1005Metric";5;"10uF";;;
3;"D5";"LED_0603_1608Metric";1;"LTST-C191KGKT";;;
4;"R3,R7,R6,R2";"R_0402_1005Metric";4;"5.1K";;;
5;"J3,J1,J4";"PinHeader_2x15_P2.54mm_Vertical";3;"Conn_02x15_Odd_Even";;;
6;"F1";"R_0603_1608Metric";1;"MF-FSMF050X-2";;;
7;"J5,J2";"DF40C60DS04V51";2;"DF40C-60DS-0.4V(51)";;;
8;"J10";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"FTSH-105-01-L-DV-007-K";;;
9;"R1,R9";"R_0402_1005Metric";2;"2.2K";;;
10;"R8";"R_0402_1005Metric";1;"27";;;
11;"Q1";"SOT-323_SC-70";1;"BC846";;;
12;"J6,J7";"AMPHENOL_SFV22R-2STE1HLF";2;"SFV22R-2STE1HLF";;;
13;"D1";"D_SOD-323";1;"1N5819WS";;;
14;"R4,R5";"R_0402_1005Metric";2;"56K";;;
15;"RN2,RN1";"R_Array_Convex_4x0402";2;"220K";;;
16;"J8";"PinHeader_2x06_P2.54mm_Vertical";1;"Conn_02x06_Odd_Even";;;
17;"J9";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
18;"Y1";"Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm";1;"SG-210STF 24.0000ML0";;;
19;"RN4";"R_Array_Convex_4x0402";1;"4.7K";;;
20;"U2";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TLV75733PDRV";;;
21;"U1";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TLV75718PDRV";;;
