Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10u","C_0402_1005Metric",0.755600,34.987402,90.000000,bottom
"C7","10u","C_0402_1005Metric",16.495011,28.446811,45.000000,bottom
"C8","10u","C_0402_1005Metric",14.455011,19.276811,45.000000,bottom
"C9","10u","C_0402_1005Metric",15.736189,20.557989,-135.000000,bottom
"C10","10u","C_0402_1005Metric",18.745011,23.406811,-135.000000,bottom
"C11","10u","C_0402_1005Metric",15.816189,29.127989,45.000000,bottom
"C12","0.1u","C_0201_0603Metric",15.528767,22.861895,-45.000000,bottom
"C13","0.1u","C_0201_0603Metric",16.671874,22.473674,45.000000,bottom
"C14","0.1u","C_0201_0603Metric",17.742897,24.670108,-135.000000,bottom
"C15","0.1u","C_0201_0603Metric",15.249326,26.401126,-135.000000,bottom
"C24","10u","C_0402_1005Metric",9.925039,27.026710,-135.000000,bottom
"C25","10u","C_0402_1005Metric",9.851559,24.686811,-45.000000,bottom
"C26","10u","C_0402_1005Metric",11.501522,25.942076,-135.000000,bottom
"C27","2.2u","C_0402_1005Metric",11.156189,23.386811,135.000000,bottom
"C28","10u","C_0402_1005Metric",12.455011,22.047989,-45.000000,bottom
"C29","10u","C_0402_1005Metric",17.876189,26.426811,-45.000000,bottom
"C30","10u","C_0402_1005Metric",13.425888,27.902888,45.000000,bottom
"C31","10u","C_0402_1005Metric",13.775682,20.737295,-45.000000,bottom
"C32","10u","C_0402_1005Metric",11.226189,28.317989,45.000000,bottom
"C33","0.1u","C_0201_0603Metric",12.121874,24.351126,135.000000,bottom
"C34","0.1u","C_0201_0603Metric",13.379326,24.691126,-135.000000,bottom
"C35","0.1u","C_0201_0603Metric",14.101874,23.541126,135.000000,bottom
"C36","0.1u","C_0201_0603Metric",15.021874,22.021126,135.000000,bottom
"C37","0.1u","C_0201_0603Metric",14.001829,26.843253,-45.000000,bottom
"C38","0.1u","C_0201_0603Metric",13.821874,21.821126,-45.000000,bottom
"C39","10u","C_0402_1005Metric",12.143370,27.240317,135.000000,bottom
"C40","10u","C_0402_1005Metric",19.198843,20.251863,-135.000000,bottom
"C41","10u","C_0402_1005Metric",17.185011,27.756811,45.000000,bottom
"C42","10u","C_0402_1005Metric",14.745011,29.957989,135.000000,bottom
"C43","10u","C_0402_1005Metric",18.540021,20.903041,-135.000000,bottom
"C44","0.1u","C_0201_0603Metric",16.219326,23.533674,-45.000000,bottom
"C45","0.1u","C_0201_0603Metric",16.641874,26.081126,135.000000,bottom
"C46","0.1u","C_0201_0603Metric",14.839326,27.631126,45.000000,bottom
"C47","0.1u","C_0201_0603Metric",13.029326,26.341126,45.000000,bottom
"C76","0.1u","C_0201_0603Metric",17.629326,23.501126,45.000000,bottom
"C81","0.1u","C_0201_0603Metric",14.579326,25.443674,135.000000,bottom
"C83","0.1u","C_0201_0603Metric",17.471874,22.303674,-135.000000,bottom
"C84","0.1u","C_0201_0603Metric",15.863627,25.092532,45.000000,bottom
"FB2","BLM15AG121SN1D","C_0402_1005Metric",12.774519,28.614359,-135.000000,bottom
"FB3","BLM15AG121SN1D","C_0402_1005Metric",9.171831,23.999670,-45.000000,bottom
"FB4","BLM15AG121SN1D","C_0402_1005Metric",10.839803,26.579331,-135.000000,bottom
"FB5","BLM15AG121SN1D","C_0402_1005Metric",13.105011,20.067989,-45.000000,bottom
"FB6","BLM15AG121SN1D","C_0402_1005Metric",10.498285,22.686250,135.000000,bottom
"FB7","BLM15AG121SN1D","C_0402_1005Metric",11.797367,21.385633,-45.000000,bottom
"FB8","BLM15AG121SN1D","C_0402_1005Metric",17.889323,21.569033,45.000000,bottom
"FB9","BLM15AG121SN1D","C_0402_1005Metric",14.105011,29.277989,-45.000000,bottom
"FID5","Fiducial","Fiducial_0.5mm_Mask1mm",-2.294400,12.767400,90.000000,bottom
"FID6","Fiducial","Fiducial_0.5mm_Mask1mm",27.705600,36.767400,90.000000,bottom
"FID7","Fiducial","Fiducial_0.5mm_Mask1mm",27.705600,12.767400,90.000000,bottom
"J2","DF40C-60DP-0.4V(51)","DF40C60DP04V51",27.760600,24.567400,-90.000000,bottom
"J3","DF40C-60DP-0.4V(51)","DF40C60DP04V51",-1.439400,24.567400,-90.000000,bottom
"R3","27","R_0402_1005Metric",19.155600,18.277399,-90.000000,bottom
"R8","DNF","R_0402_1005Metric",-1.714399,34.997402,90.000000,bottom
"R12","27","R_0402_1005Metric",12.695601,17.217400,180.000000,bottom
"R18","200K","R_0402_1005Metric",-0.524397,34.997401,90.000000,bottom
"R26","294K","R_0402_1005Metric",-1.614395,33.567402,0.000000,bottom
"U4","W25Q128JVPIQ","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",21.606000,14.058415,90.000000,bottom
"U13","APS6408L-OBM-BA","BGA-24_6x8mm_Layout5x5_P1.0mm",9.835600,34.397400,-135.000000,bottom
"C6","33p","C_0201_0603Metric",-2.114400,33.897402,-90.000000,top
"C18","0.1u","C_0201_0603Metric",23.837200,16.752200,0.000000,top
"C20","10u","C_0402_1005Metric",7.235011,35.536811,45.000000,top
"C21","0.1u","C_0201_0603Metric",10.279552,32.021352,-135.000000,top
"C22","0.1u","C_0201_0603Metric",11.635600,35.117400,180.000000,top
"C23","0.1u","C_0201_0603Metric",8.641874,34.653674,45.000000,top
"C48","10u","C_0402_1005Metric",-3.364400,37.097400,90.000000,top
"C51","10u","C_0402_1005Metric",-3.364398,35.207402,-90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",-2.294400,12.767400,90.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",27.705600,36.767400,90.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",27.705600,12.767400,90.000000,top
"L3","1u","DFE201610E",-1.024397,36.907402,180.000000,top
"R9","4.7K","R_0402_1005Metric",23.501000,14.061799,90.000000,top
"R33","4.7K","R_0402_1005Metric",20.901000,14.061799,90.000000,top
