"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R62,R33,R51,R9,R78";"R_0402_1005Metric";5;"4.7K";;;
2;"C48,C51,C20,C41,C7,C43,C39,C29,C42,C8,C30,C40,C24,C26,C28,C11,C32,C10,C9,C3,C25,C31";"C_0402_1005Metric";22;"10u";;;
3;"C18,C21,C23,C22,C47,C33,C36,C45,C38,C12,C76,C15,C83,C13,C46,C37,C81,C35,C44,C34,C84,C14";"C_0201_0603Metric";22;"0.1u";;;
4;"C6";"C_0201_0603Metric";1;"33p";;;
5;"U5";"SOT-563";1;"AP61102QZ6-7";;;
6;"U3";"BGA121N50P11X11_600X600X100";1;"LIFCL-17-7MG121C";;;
7;"L3";"DFE201610E";1;"1u";;;
8;"FB7,FB9,FB4,FB5,FB6,FB8,FB3,FB2";"C_0402_1005Metric";8;"BLM15AG121SN1D";;;
9;"C27";"C_0402_1005Metric";1;"2.2u";;;
10;"R8";"R_0402_1005Metric";1;"DNF";;;
11;"U4";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q128JVPIQ";;;
12;"J2,J3";"DF40C60DP04V51";2;"DF40C-60DP-0.4V(51)";;;
13;"R12,R3";"R_0402_1005Metric";2;"27";;;
14;"R26";"R_0402_1005Metric";1;"294K";;;
15;"U13";"BGA-24_6x8mm_Layout5x5_P1.0mm";1;"APS6408L-OBM-BA";;;
16;"R18";"R_0402_1005Metric";1;"200K";;;
